10	"<F103>Logo Markservice AB"	""	""	0	""	""	        
20	"Hiv og Hoi A/S"	"Karl Johans gt. 2"	""	6850	"Jens Olsen"	"abc"	        
344	"Sjõsiden/Venterommet"	""	""	154	""	""	        
345	"Ronneby Brunn"	"Box 135  37222 Ronneby"	"Sverige"	0	"Sõlve Persson"	""	19951207
353	"Kvëfjord Hotell"	""	""	9410	""	""	        
400	"Yrkesorganisasjonenes Studieforbund"	""	""	187	""	""	        
459	"Skinnarbu Hõyfjellshotell"	""	""	3660	""	""	        
500	"Vinger Hotell"	"ùstre Solõrv. 6"	""	2200	""	""	19950922
908	"èkerõy Transport A/S"	""	""	7010	""	""	        
959	"Malermester Martin Uggedal A/S"	""	""	6280	""	""	        
975	"H. P. Hansens Transport A/S"	"Brattõra"	""	7010	"Morten Tevik"	"ET"	        
1173	"Lõdingen Mekaniske"	""	"11"	8550	""	""	        
1200	"Hemsedal Frisersalong"	""	""	3560	""	"F"	        
1207	"Datainformasjon A/S"	"Ivar Aasengt. 7"	""	6150	"StÜle ùye"	"KFT"	        
1814	"TROAX"	""	"51 Veitvet"	518	""	""	        
1928	"Teknisk Vannservice AS"	"Proff. Birkelandsv. 26B"	"Pb. 5 Stovner"	913	"Ing. Per Opsahl"	"DTK"	19951130
2177	"Kragerõ Kranservice A/S"	""	""	3770	""	""	        
2234	"Brëkken Mek. Verksted"	""	""	8650	""	""	        
2404	"Overhalla Mek. Verksted A/S"	""	""	7860	""	""	        
2439	"Fortuna Truckservice A/S"	"Brennav. 4"	"Postboks 110"	1483	"TõmmerÜs"	"T"	19950328
2656	"A/S Partnerhotell Austlid Feriesenter"	""	""	2622	""	""	        
2868	"Turbusser v/Thore Kjõlseth"	""	""	2200	""	""	        
3130	"Verdal  Boktrykkeri"	""	"163"	7651	""	""	        
3156	"K.V. Elektro A/S"	""	""	7000	""	"DI"	        
3424	"Selje Skjortefabrikk A/S"	""	""	6740	""	""	        
3450	"Jan Eilertsens Kranservice A/S"	""	""	3770	""	""	        
4165	"Anlegg & Transport A/S"	""	""	9590	"Leidar Eilertsen"	"T"	19950927
4724	"Dale Spesialvarer A/S"	""	""	6810	""	""	        
4826	"K. Kleven A/S"	""	""	6520	""	""	        
4894	"Betongservice A/S"	""	"7560 Moa"	6022	""	""	        
5219	"Din Frisõr"	"Gamle Strõmsvn. 41a"	""	1476	"Anne Grete Eilertsen"	"TK"	        
5571	"Norõ A.J. Engros A/S"	""	"3285"	9001	""	""	        
5777	"Vest-Lofoten Feriesenter A/S"	"BesselvÜg"	""	8392	"Hege Gundersen"	""	        
6326	"Johan Edvart Isaksen"	""	""	9710	""	""	        
6908	"Ulsberg Motell og Camping"	""	""	7347	""	""	        
7076	"Sõntra A/S"	"Sannerg. 24"	""	557	"Roger Skoglund"	"AT"	19951205
7103	"Hansen Steinar A/S"	""	""	3031	""	""	        
7442	"Torghatten Brõnnõy Hotell A/S"	"Valvn. 11"	"Postboks 84"	8901	"Jarle Kristoffersen"	"T"	19950320
7498	"Namsen Motorhotell A/S"	"Narvarvn. 2"	""	7820	"Per V. BrasõygÜrd"	"T"	19950113
7946	"The Image Bank"	"RÜdhusgt. 9d"	""	151	"Rakke"	"DF"	        
8272	"Rolf Andreassen og Sõnner A/S"	"Jernbanegt. 2"	""	1751	"Rolf Andreassen"	"DHIT"	        
8311	"AMS Alt Mulig Servic"	""	""	284	""	""	        
170507	"PAK Agentur"	"Margrethe Jõrgensens v. 3"	"Postboks 1040"	9401	"Per Krõtõ"	"EA"	19951130
170501	"Standard Hotell"	"Pilestredet 27"	""	164	"Lise Moe"	"a"	        
170502	"ùstenby Blikkenslagerverksted A/S"	""	""	1970	"Bjõrn ùstenby"	"H"	        
170503	"Haug Bjõrn"	"MovikÜsvn. 5"	""	3135	""	""	        
170504	"Skylift Pilotsenter A/S"	"Flyplassvn. 21"	""	3700	""	""	        
170505	"Tau Mek. Verksted AS"	"Nordmarka IndustriomrÜde"	""	4120	"Johannes Aaen"	"PTK"	19960104
170506	"Mõbelsentret Hj. Henriksen A/S"	"Storgt. 8"	""	9600	"Adm. leder Elsa I. Henriksen"	"din"	        
170508	"ICM Nord A/S"	"Margrethe Jõrgensens v. 3"	"Postboks 1040"	9400	"Per Krõtõ / Ole Nordahl"	"dai"	        
170509	"EB Installasjon A/S"	""	"Postboks 3510"	5033	""	"t"	        
170510	"Laboglass AS"	"VÜgsmyrgt. 21"	"Postboks 160"	4030	"Knut Wielechowski"	"DEAIX"	        
170511	"Elektrofirma Lien & Co. A/S"	""	""	9250	"Leif Lien"	"HT"	        
170512	"Nord-Norsk Spedisjon A/S"	""	"Postboks 3066"	8501	"Terje Dybvik"	""	        
170513	"Kristian G. Olsen A/S"	"Chr. Fredriksens gt. 12"	""	8490	"Eliseus Olsen"	"DH"	        
170514	"MÜlselvfossen Camping, Kurs og Feriesenter"	""	""	9230	"Gunnar Berntsen"	"T"	19950426
170515	"Stavanger Consultants A/S"	"SandvigÜ 24"	""	4007	"Hr. Davis"	"atkfs"	        
170516	"Steinsvik Arkitektkontor"	""	"Postboks 568"	9001	"Rosmarin Steinsvik"	"K"	        
170517	"C B Produkter"	"Jens Bjelkes gt. 13"	""	562	"Hr. Bonde"	"TK"	19960105
170518	"A/S Rosenvik Produkter"	""	"Postboks 23"	7301	"Egil Olsen"	"E"	19951110
170519	"Breiangen KafÇ og Pensjonat"	"Vestre Strandvei 18"	""	3482	""	""	        
170520	"Jonassen Motorverksted A/S"	"Maskinvn. 16"	"Postboks 37"	4033	"Ingvar Jonassen"	"H"	        
