Navn       Per Dato     Tid  Kjøp     Salg     Omsatt   Endring Volum
Bank       D   14.11.95 0946                      60,99                 32
Bank       D   14.11.95 1006                      60,99                163
Bank       D   14.11.95 1021                      60,89   -0,10       1831
Bank       D   14.11.95 1036                      60,78   -0,21       2948
Bank       D   14.11.95 1050                      60,71   -0,28       3122
Bank       D   14.11.95 1104                      60,71   -0,28       3171
Bank       D   14.11.95 1119                      60,82   -0,17       3797
Bank       D   14.11.95 1133                      60,82   -0,17       4129
Bank       D   14.11.95 1148                      60,95   -0,04       5046
Bank       D   14.11.95 1203                      60,95   -0,04       5333
Bank       D   14.11.95 1217                      60,92   -0,07       5621
Bank       D   14.11.95 1247                      60,88   -0,11       5681
Bank       D   14.11.95 1301                      60,88   -0,11       8346
Bank       D   14.11.95 1303                      60,88   -0,11       8403
Bank       D   14.11.95 1317                      60,79   -0,20       8926
Bank       D   14.11.95 1332                      60,79   -0,20       8942
Bank       D   14.11.95 1347                      60,71   -0,28       9706
Bank       D   14.11.95 1402                      60,71   -0,28      11011
Bank       D   14.11.95 1417                      60,71   -0,28      11346
Bank       D   14.11.95 1432                      60,71   -0,28      11512
Bank       D   14.11.95 1447                      60,73   -0,26      13712
Bank       D   14.11.95 1502                      60,63   -0,36      14660
Bank       D   14.11.95 1517                      60,63   -0,36      17088
Bank       D   14.11.95 1532                      60,76   -0,23      19520
Bank       D   14.11.95 1547                      60,76   -0,23      19596
Bank       D   14.11.95 1603                      60,83   -0,16      23930
Bank       D   14.11.95 1617                      60,83   -0,16      38769
Forsikring D   14.11.95 0946                     315,12                   
Forsikring D   14.11.95 1006                     315,12                 36
Forsikring D   14.11.95 1050                     313,79   -1,33        351
Forsikring D   14.11.95 1104                     313,12   -2,00        448
Forsikring D   14.11.95 1119                     313,12   -2,00        668
Forsikring D   14.11.95 1133                     313,12   -2,00        955
Forsikring D   14.11.95 1203                     313,12   -2,00       1049
Forsikring D   14.11.95 1217                     313,12   -2,00       1081
Forsikring D   14.11.95 1232                     313,12   -2,00       1371
Forsikring D   14.11.95 1247                     313,12   -2,00       1395
Forsikring D   14.11.95 1301                     313,12   -2,00       1567
Forsikring D   14.11.95 1317                     311,79   -3,33       2347
Forsikring D   14.11.95 1402                     312,46   -2,66       3571
Forsikring D   14.11.95 1417                     312,46   -2,66       4198
Forsikring D   14.11.95 1502                     311,68   -3,44       4730
Forsikring D   14.11.95 1532                     311,68   -3,44       4824
Forsikring D   14.11.95 1547                     311,01   -4,11       5151
Forsikring D   14.11.95 1603                     311,68   -3,44       5877
Forsikring D   14.11.95 1617                     311,68   -3,44       6101
Industri   D   14.11.95 0946                    1218,00               1218
Industri   D   14.11.95 1006                    1217,90   -0,11       5454
Industri   D   14.11.95 1021                    1217,10   -0,87       7686
Industri   D   14.11.95 1036                    1218,40    0,38      13243
Industri   D   14.11.95 1050                    1217,90   -0,07      19628
Industri   D   14.11.95 1104                    1218,30    0,33      21140
Industri   D   14.11.95 1119                    1218,90    0,86      37311
Industri   D   14.11.95 1133                    1218,90    0,95      40118
Industri   D   14.11.95 1148                    1220,20    2,22      50415
Industri   D   14.11.95 1203                    1220,80    2,79      58487
Industri   D   14.11.95 1217                    1219,70    1,71      62530
Industri   D   14.11.95 1232                    1217,80   -0,18      67803
Industri   D   14.11.95 1247                    1216,80   -1,15      72398
Industri   D   14.11.95 1301                    1217,50   -0,49      76082
Industri   D   14.11.95 1303                    1217,60   -0,40      76144
Industri   D   14.11.95 1317                    1217,60   -0,38      85256
Industri   D   14.11.95 1319                    1217,40   -0,57      85704
Industri   D   14.11.95 1332                    1218,30    0,32      94212
Industri   D   14.11.95 1347                    1218,90    0,87      98527
Industri   D   14.11.95 1402                    1219,00    0,99     103720
Industri   D   14.11.95 1403                    1218,90    0,88     103720
Industri   D   14.11.95 1417                    1219,00    0,98     106608
