Bank
BSK ,Bergens Skillingsbank, 300250
BNB ,Bolig- og N{ringsbanken
CKR ,Chr. Bank og Kr. A-aksjer
DNB ,Den norske Bank A-aksjer
FOK ,Fokus Bank AS
ISB ,Industri & Skipsbanken
NBK ,Nordlandsbanken
NOK ,Norgeskreditt
Forsikring
PRF ,Protector Forsikring
UNS ,UNI Storebrand ord. aksjer
UNP ,UNI Storebrand pref.aksjer
VIT ,Vital Forsikring A-aksjer
Industri, handel og finans
AAV ,Adresseavisen
AKE ,Aker A-aksjer
AKEB,Aker B-aksjer
STK ,Alcatel STK ord.
AFK ,Arendals Fossekompani
AVA ,Avantor
BIL ,Bilspedition serie B Frie
BJF ,Bj|lvefossen
BLO ,Blom
BRA ,Braathens SAFE
CTG ,C. Tybring-Gjedde
CBJ ,Chr. Bjelland & Co.
DNL ,D.N.L. serie B
DNO ,DNO
DYN ,Dyno Industrier
EEG ,Eeg-Henriksen Gruppen
EKO ,Ekornes
ELK ,Elkem A-aksjer
EKJ ,Elkj|p Norge
FSL ,Fesil
FIB ,Fiba
GOD ,Goodtech
GHO ,Grand Hotel A-aksjer
GRE ,Gresvig
GYL ,Gyldendal Norsk Forlag
HNA ,Hafslund Nycomed A-aksjer
HNB ,Hafslund Nycomed B-aksjer
HES ,Helikopter Service
HUN ,Hunsfos Fabrikker
IIR ,Industriinvestor
KOG ,Kongsberg Gruppen
KVE ,Kverneland
KVI ,Kv{rner A-aksjer
KVIB,Kv{rner B-aksjer
MAG ,Maritime Group
MED ,Merkantildata
MSG ,Micro Software Group
MOE ,Moelven Industrier
NER ,Nera
NHY ,Norsk Hydro
NOV ,Norsk Vekst
NSG ,Norske Skogindustrier A-aksjer
NSGB,Norske Skogindustrier B-aksjer
NYD ,Nydalens Compagnie
OLT ,Olav Thon Eiendomsselskap
ORK ,Orkla A-aksjer
ORKB,Orkla B-aksjer
PGS ,Petroleum Geo-Services
POR ,Porsgrunds Porsel{nsfabrik
PRO ,Pronova
RAU ,Raufoss
REN ,Rena Karton
RIE ,Rieber & S|n A-aksjer
RIEB,Rieber & S|n B-aksjer
SAG ,Saga Petroleum A-aksjer
SAGB,Saga Petroleum B-aksjer
SAT ,Sagatex
SCI ,Scana Industrier
SCH ,Schibsted
SEL ,Selmer
SMD ,Simrad A-aksjer
SMDB,Simrad B-aksjer
OPT ,Simrad Optronics
SIN ,Sinus Industrier
SKI ,Skiens Aktiem|lle
SSI ,Steen & Str|m Invest
STE ,Stentofon
SYD ,Sydvaranger
TAA ,Tandberg
TAD ,Tandberg Data A/S
TOM ,Tomra Systems
UTO ,Unitor
VEI ,Veidekke
Skip
ACS ,Actinor Shipping
AWS ,Awilco A-aksjer
AWSB,Awilco B-aksjer
BEL ,Belships Co.
BET ,Benor Tankers
BEA ,Bergesen d.y. A-aksjer
BEB ,Bergesen d.y. B-aksjer
BSH ,Bona Shipholding
BON ,Bonheur
BOR ,Borgestad A-aksjer
BORB,Borgestad B-aksjer
COL ,Color Line
NAL ,Den norske Amerikalinje, Oslo
SFJ ,Det S|ndenfjelds-Norske DS
DUA ,Dual Invest A-aksjer
DUAB,Dual Invest B-aksjer
EID ,Eidsiva
FAR ,Farstad Shipping
FOT ,First Olsen Tankers
GRO ,Ganger Rolf
HAV ,Havtor
IMS ,I.M. Skaugen
IVH ,Ivar Holding
JIN ,Jinhui Shipping and Transport.
LSL ,Larvik Scandi Line
LHO ,Leif H|egh & Co. A/S
LOI ,Loki
MET ,Mercur Tankers
MSL ,Mosvold Shipping Ltd.
NOS ,Nomadic Shipping
NATT,Nordic Am. Tanker Tegn.retter
NAS ,Nordic American Shipping
NTH ,Nordstr|m & Thulin B-aksjer
PBB ,Pacific Basin Bulk ord.
PBBT,Pacific Basin Warrants
SPT ,Skaugen PetroTrans
SME ,Smedvig
SMT ,Smedvig Tankships
SOL ,Solvang
SPA ,Stolt Partner S.A.
STO ,Storli A-aksjer
STOB,Storli B-aksjer
TOD ,Transocean
VAR ,Vard
WBS ,Western Bulk Shipping
WWI ,Wilh. Wilhelmsen Limited A-ak.
WWIB,Wilh. Wilhelmsen Ltd. B-aksjer
SMB
ADE ,Adelsten A-aksjer
ADEB,Adelsten B-aksjer
ARK ,Ark
ACL ,Atlantic Container Line
AXI ,Axis Biochemicals
BNR ,Bergen Nordhordland Rutelag
BRO ,Br|vig Offshore
BOH ,B|hler-Gruppen
STF ,D/S Storfjeld
EAB ,Eiendomsselskapet Aker Brygge.
FOS ,Fosen Trafikklag
FOU ,Fountain Oil Incorporated
HAG ,H]G
HSD ,Hardanger Sunnhordlandske DS
HIT ,Hitec
IBY ,Industribygningen
JOT ,J|tul
KEN ,Kenor
KOA ,Kongsberg Automotive
KDP ,Kristiansand Dyrepark A/S
LEG ,Legra
MIF ,Maritime Investment Fund Ltd.
MUS ,MultiSoft
NAM ,Namsos Trafikkselskap
ORC ,Oslo Reinsurance Company
RIC ,Rica Hotell- og Restaurantkje.
RIN ,Ring-Master
SLA ,SE Labels
SNT ,Santech
STX ,Seatex
SEN ,SensoNor
SKF ,Skipskredittforeningen
SPC ,SpecTec
STA ,Stavanger Aftenblad
SYS ,Sysdeco Group
TTS ,TTS Technology
TES ,Tschudi & Eitzen Shipping
VVL ,Voss Veksel- og Landmandsbank
Grunnfondbevis
EIRG,Eiker Sparebank Grunnfondsbev.
SASG,Sandefjordbanken Grunnfondsbe.
SADG,Sandnes Sparebank Grunnfondsb.
SANG,Sandsv{r Sparebank Grunnfonds.
NONG,Sp.b. Nord-Norge Grunnfondsbe.
MORG,Sparebanken M|re Grunnfondsbe.
SNOG,Sparebanken NOR Grunnfondsbev.
ROGG,Sparebanken Rogaland Grunnfon.
SVEG,Sparebanken Vest Grunnfondsbe.
MING,Spb. Midt-Norge Grunnfondsbev.
Obligasjoner
KB11,BN-BANK A/S
KB12,BN-BANK A/S
KB13,BN-BANK A/S
KB07,BOLIG OG N[RING
KB10,BOLIG OG N[RING
HL13,CBK
HL17,CBK
HL18,CBK
HE70,DNB
HE72,DNB
HE75,DNB
TF60,KOMMUNALBANK
TF61,KOMMUNALBANK
TG62,KOMMUNALBANK
KM93,NORGESKREDITT
KM94,NORGESKREDITT
KM95,NORGESKREDITT
KM97,NORGESKREDITT
KM98,NORGESKREDITT
KM01,NORGESKREDITT
S459,NORSK STAT
S462,NORSK STAT
S463,NORSK STAT
S465,NORSK STAT
KW11,SPAREBK.KREDITT
KW16,SPAREBK.KREDITT
KW18,SPAREBK.KREDITT
KW19,SPAREBK.KREDITT
KX40,VESTENFJELSKE
KX37,VESTENFJELSKE AS
KX41,VESTENFJELSKE AS
