POP & ROCK                              0: #########################
BLUES                             2191211: ##
COUNTRY & WESTERN                 2337436: ##
BARNEPLATER                       2552031: 
JAZZ                              2561692: #########
KLASSISK                          3351628: #############
UNDERHOLDNING                     4842178: ##
DIV. POP & ROCK                   5035566: ##
NEW-AGE / ELEKTRONISK             5276580: ##
FILM- /TV-MUSIKK - MUSICALS       5381481: ##
ETNISK                            5608078: #
DIV. KLASSISK                     5758618: ###
C&W                               6065484: 
DIV. SNADDER                      6067259: #
JAZZ                              6188558: 
KLASSISK DIVERSE                  6195960: 
KLASSISK                          6206561: 
MUSIKK VIDEO                      6233764: ##
SPILLE-/CULTFILM                  6397477: #####
TEGNEFILM                         7000152: #
3DO                               7083207: 
AMIGA-CD32                        7086268: 
APPLE-MACINTOSH-SPILL             7087497: 
ATARI-JAGUAR                      7091621: 
BOOK                              7092602: 
IBM-PC CD-ROM                     7092700: #
IBM-PC                            7172897: #
NINTENDO-GAMEBOY                  7237433: 
NINTENDO-SUPERNINTENDO-NTSC       7249867: 
NINTENDO-SUPERNINTENDO-PAL        7284456: 
PHILIPS-CD-I                      7299617: #
SEGA GENESIS                      7311731: 
SEGA MEGADRIVE                    7313287: 
SEGA-GAME GEAR                    7349234: 

951222, 10:49
