25336 CD;POP & ROCK
1674 CD;BLUES
2192 CD;COUNTRY & WESTERN
 103 CD;BARNEPLATER
9204 CD;JAZZ
13096 CD;KLASSISK
2049 CD;UNDERHOLDNING
2319 CD;DIV. POP & ROCK
1052 CD;NEW-AGE / ELEKTRONISK
2084 CD;FILM- /TV-MUSIKK - MUSICALS
1684 CD;ETNISK
2583 CD;DIV. KLASSISK
  16 VHS - VIDEO;C&W
1123 VHS - VIDEO;DIV. SNADDER
  68 VHS - VIDEO;JAZZ
  94 VHS - VIDEO;KLASSISK DIVERSE
 265 VHS - VIDEO;KLASSISK
1540 VHS - VIDEO;MUSIKK VIDEO
4975 VHS - VIDEO;SPILLE-/CULTFILM
 828 VHS - VIDEO;TEGNEFILM
  43 SPILL;3DO
  20 SPILL;AMIGA-CD32
  47 SPILL;APPLE-MACINTOSH-SPILL
  12 SPILL;ATARI-JAGUAR
   1 SPILL;BOOK
 877 SPILL;IBM-PC CD-ROM
 877 SPILL;IBM-PC
 179 SPILL;NINTENDO-GAMEBOY
 404 SPILL;NINTENDO-SUPERNINTENDO-NTSC
 173 SPILL;NINTENDO-SUPERNINTENDO-PAL
 145 SPILL;PHILIPS-CD-I
  18 SPILL;SEGA GENESIS
 509 SPILL;SEGA MEGADRIVE
 112 SPILL;SEGA-GAME GEAR
63376 CD
8909 VHS - VIDEO
3417 SPILL
